first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Bjorn,Engels,Engels,2,0,4,252,3,31.9,373,133,32,1,44.5,319,109,455,329.6,226,88,1446,0,0,0,42,2.5,81.0,304,97,103846,0,99993,0,0.0,9.8,1,0,43,0,0,-2,2
Mesut,Özil,Özil,3,3,1,256,5,582.9,39,32,20,1,99.8,153,79,15,223.6,300,126,1439,0,0,0,53,2.9,190.0,205,110,246324,0,307866,0,0.0,7.7,1,0,69,0,0,-6,6
Ben,Davies,Davies,2,0,2,223,4,172.4,220,55,19,0,54.4,285,92,329,279.8,256,99,1430,0,0,0,41,2.3,94.0,291,91,24706,0,21239,0,0.6,7.7,6,0,53,0,0,-2,2
Christoph,Zimmermann,Zimmermann,2,1,1,247,3,25.5,392,146,27,0,45.6,316,108,275,366.4,200,73,1430,0,0,0,35,2.1,62.0,332,114,4602,0,5034,0,0.0,8.0,3,0,44,0,0,-1,1
Marcos,Alonso,Alonso,2,4,11,395,7,413.4,96,18,18,4,124.3,104,20,103,411.8,181,65,1429,0,0,0,100,5.6,420.0,92,8,529044,0,671763,0,0.5,16.4,4,0,61,0,0,-4,4
Shane,Long,Long,4,3,4,159,5,264.8,159,23,20,2,99.4,155,32,315,190.8,318,38,1386,0,0,0,62,2.4,536.0,68,31,251542,0,464269,0,0.2,13.5,0,0,46,0,0,-4,4
Ainsley,Maitland-Niles,Maitland-Niles,2,2,3,244,3,182.0,216,53,22,0,53.6,287,94,4,301.8,241,94,1382,0,0,0,41,2.0,58.0,337,119,610816,0,653555,0,0.1,9.1,4,1,45,0,0,-5,5
Onel,Hernández,Hernández,3,2,0,173,1,235.5,176,110,32,1,90.5,175,88,284,227.2,294,122,1374,0,0,0,52,2.0,445.0,83,41,7450,0,18151,0,0.4,9.8,0,0,53,0,0,-2,2
Sean,Longstaff,Longstaff,3,2,0,181,2,217.1,187,118,26,1,60.8,267,129,270,235.8,288,119,1370,0,0,0,44,1.9,155.0,233,123,22166,0,55549,0,0.2,8.8,2,1,50,0,0,0,0
Manuel,Lanzini,Lanzini,3,3,3,234,2,464.8,66,49,30,0,96.5,162,82,391,219.0,304,128,1370,0,0,0,50,2.1,281.0,143,78,270283,0,320272,0,0.1,8.2,1,0,61,0,0,-4,4
